"cityID","cityName","cityImg","cityScore"
5,"Amsterdam","https://media.istockphoto.com/id/1143539287/photo/channel-in-amsterdam-netherlands-houses-river-amstel.jpg?s=612x612&w=0&k=20&c=tYhG0NPq1eCGP3JgwFrphJK2VQ9mVHmEHZXUudzNCGE=","4.4"
8,"Berlin","https://www.deutschland.de/sites/default/files/styles/image_carousel_mobile/public/media/image/Berlin-Modern-Mitte-Europa.jpg?itok=RuGJK1R4","4.1"
13,"Brüksel","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/37/83/7c/grand-place.jpg?w=600&h=400&s=1","4.5"
9,"Budapeşte","https://i.pinimg.com/736x/2b/dc/36/2bdc36918b310aa1da2c2fdecfd794e1.jpg","4.0"
27,"Cenevre","https://cdnp.flypgs.com/files/Sehirler-long-tail/Cenevre/cenevre-gezi-rehberi.jpg","4.1"
22,"Moskova","https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Saint_Basil%27s_Cathedral_and_the_Red_Square.jpg/1200px-Saint_Basil%27s_Cathedral_and_the_Red_Square.jpg","4.6"
33,"Sevilla","https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Monumental_Plaza_de_Espa%C3%B1a_de_Sevilla.jpg/640px-Monumental_Plaza_de_Espa%C3%B1a_de_Sevilla.jpg","4.3"
29,"Frankfurt","https://www.thinkgeoenergy.com/wp-content/uploads/2023/03/Frankfurt-am-Main.jpg","3.9"
28,"Münih","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Stadtbild_M%C3%BCnchen.jpg/1280px-Stadtbild_M%C3%BCnchen.jpg","4.0"
16,"Helsinki","https://cdn.getyourguide.com/img/tour/618fcae4b5a15.png/97.jpg","4.2"
23,"Kiev","https://dynamic-media-cdn.tripadvisor.com/media/photo-o/12/03/58/fe/2000.jpg?w=600&h=400&s=1","4.5"
14,"Kopenhag","https://i.pinimg.com/736x/fc/c7/79/fcc779231bed0cf3c19a3976b495cdf2.jpg","4.4"
34,"Valencia","https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Hemispheric_-_Valencia%2C_Spain_-_Jan_2007.jpg/2560px-Hemispheric_-_Valencia%2C_Spain_-_Jan_2007.jpg","4.2"
35,"Bilbao","https://upload.wikimedia.org/wikipedia/commons/c/c1/Cityscape_-_Bilbao%2C_Spain_-_panoramio_%281%29.jpg","4.1"
3,"Londra","https://icad.org.ng/wp-content/uploads/2017/11/London-UK.jpg","4.6"
32,"Madrid","https://d1bvpoagx8hqbg.cloudfront.net/originals/experience-madrid-spain-sergio-2653e8f4b8e51fcfbe0620a2a870f90c.jpg","4.4"
42,"Marsilya","https://assets.enuygun.com/media/lib/750x525/uploads/image/marsilya-3-6226.jpeg","4.4"
36,"Milano","https://a.cdn-hotels.com/gdcs/production68/d1314/b12f79e7-bcce-4cac-96f8-33f98b9bfb88.jpg?impolicy=fcrop&w=800&h=533&q=medium","4.6"
39,"Napoli","https://cdn.britannica.com/54/142754-050-94E32692/Naples-Italy.jpg","4.3"
